,Atlanta Hawks,Boston Celtics,Brooklyn Nets,Charlotte Hornets,Chicago Bulls,Cleveland Cavaliers,Dallas Mavericks,Denver Nuggets,Detroit Pistons,Golden State Warriors,Houston Rockets,Indiana Pacers,Los Angeles Clippers,Los Angeles Lakers,Memphis Grizzlies,Miami Heat,Milwaukee Bucks,Minnesota Timberwolves,New Orleans Pelicans,New York Knicks,Oklahoma City Thunder,Orlando Magic,Philadelphia 76ers,Phoenix Suns,Portland Trail Blazers,Sacramento Kings,San Antonio Spurs,Toronto Raptors,Utah Jazz,Washington Wizards
1,2,1,0,0,2,4,3,2,3,4,3,2,3,0,3,2,1,0,0,3,2,1,1,1,1,2,3,3,2,1
2,3,4,1,1,3,6,4,4,4,6,6,3,4,1,5,3,4,1,2,4,6,1,2,1,3,4,7,4,3,4
3,5,6,2,4,5,8,6,5,5,9,8,4,6,1,7,3,5,2,5,6,9,1,3,2,5,7,9,8,4,5
4,6,9,2,6,6,12,9,6,7,13,9,6,10,1,10,7,6,2,7,7,12,2,4,2,8,7,10,11,6,6
5,9,13,3,8,7,14,10,9,9,15,11,8,12,3,12,9,6,4,7,7,14,3,5,2,10,8,14,13,10,7
6,10,14,4,10,7,16,10,10,9,17,11,9,13,3,13,9,8,5,9,7,16,4,5,2,12,9,16,14,11,8
7,10,15,5,12,9,18,11,10,9,18,12,11,14,3,14,11,9,5,11,8,16,5,5,2,14,10,18,15,12,10
8,12,17,7,13,10,19,13,11,13,22,13,12,16,3,16,13,10,7,12,9,17,7,5,3,17,11,21,18,13,13
9,14,20,8,16,11,22,14,13,14,24,15,14,18,5,19,17,12,8,12,10,19,8,5,5,18,12,24,20,14,15
10,17,21,8,20,12,25,14,16,16,28,17,16,20,6,21,18,15,9,13,12,20,9,6,5,20,12,27,23,16,15
11,20,22,9,22,15,27,16,17,18,31,19,17,21,6,22,20,16,10,15,12,24,10,6,7,21,14,30,27,19,19
12,23,25,11,25,16,30,16,19,21,35,20,20,23,7,23,22,16,12,15,14,27,11,6,8,23,16,32,28,21,21
13,24,27,11,27,19,33,20,20,23,38,22,22,26,8,23,24,18,13,18,15,29,14,6,8,26,18,35,30,24,22
14,27,29,11,29,20,34,22,21,25,41,23,24,30,8,24,27,19,16,19,16,30,15,7,10,28,19,36,33,25,24
15,27,29,11,30,21,35,23,21,25,41,24,25,31,8,24,28,19,16,19,16,31,16,7,10,28,20,37,34,25,25
44,30,30,11,30,24,37,25,22,28,44,24,25,34,8,26,30,19,18,19,18,34,16,7,12,29,21,39,37,27,27
45,34,31,11,32,25,41,26,23,30,48,28,28,35,9,27,32,23,19,19,19,35,19,7,13,32,21,41,39,29,28
46,35,34,12,35,27,43,29,26,30,52,28,31,37,10,29,34,24,20,20,21,37,21,7,15,32,24,44,41,30,29
47,36,36,14,37,29,45,32,27,32,56,29,33,37,10,31,36,24,21,22,24,39,22,7,17,34,25,47,43,31,31
48,38,38,15,40,30,48,33,27,33,59,31,36,40,10,34,38,25,24,23,24,42,25,7,18,35,26,51,45,33,31
49,40,40,16,41,32,48,35,29,37,63,34,37,42,11,36,40,27,24,24,26,43,27,8,18,37,27,54,46,34,33
50,41,43,18,44,34,50,36,30,39,65,36,38,45,11,37,41,29,25,25,27,47,28,8,21,38,29,57,50,35,35
51,44,43,18,45,36,53,38,32,41,67,38,41,47,12,39,44,30,27,27,30,49,31,8,22,39,31,60,51,36,36
52,47,47,19,46,37,54,40,33,42,69,40,42,49,13,41,46,31,27,29,30,52,33,9,22,41,32,63,53,37,39
53,48,47,21,47,41,57,42,33,43,72,40,44,53,16,42,48,33,28,30,32,55,35,10,22,43,33,66,55,40,40
